股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
KOOL 热动力医疗 0.3121 0.0208 7.14 16.94 427653 128772 1.93 -0.174 - 6912749
VIOT 云米 11.89 0.79 7.12 52.44 48575 564139 0.07 109.338 0.9009009009009009 823580659
LEGH Legacy住房 10.22 0.67 7.02 -14.33 203178 2002630 0.82 11.745 - 252668406
TORC resTORbio 7.81 0.51 6.99 -9.4 102919 780167 0.37 -5.825 - 219112237
CODA "Coda Octopus Group" 13.75 0.89 6.92 136.25 248360 3325649 2.33 22.943 - 146733455
NBL 诺贝尔能源 26.87 1.74 6.92 43.98 12458835 338606218 2.58 -196.877 1.7509 12993912506
FTSV "Forty Seven" 18.6 1.2 6.9 18.32 106967 1946744 0.34 -8.266 - 581657582
CDEV 百年资源开发 9.63 0.62 6.88 -12.61 4542246 42401653 1.64 13.315 - 2661705662
FNJN Finjan 3.11 0.2 6.87 23.9 128552 393262 0.47 4.332 - 85823062
FVE 五星高级生活 0.5769 0.037 6.85 18.75 270725 150774 0.53 -0.396 - 29332568
HSDT "Helius Medical" 2.03 0.13 6.84 -77.84 568703 1102146 2.2 -1.832 - 52443385
TLGT Teligent 1.02 0.0649 6.8 -25.55 2138178 1985866 3.97 -1.515 - 54922336
CLDB "Cortland Bancorp" 24 1.5 6.67 6.67 3731 89596 0.09 11.816 2.84444 104390976
CNBKA 世纪银行 88.11 5.51 6.67 30.29 44601 3969271 0.8 13.547 0.58111 490588462
EOG EOG能源 105.31 6.58 6.66 21.02 7144951 746940322 1.23 17.866 0.89132 61085914193
WPX WPX能源 14.31 0.89 6.63 26.08 16830312 238636994 3.99 42.255 - 6042402408
ROSEU "Rosehill Resources Inc. - Unit" 4.05 0.25 6.58 31.07 300 1215 0 0 - 52650000
ALQA "Alliqua BioMedical" 2.95 0.18 6.5 57.75 452980 1333957 9.05 -1.754 - 14765372
UNT 尤尼石油 15.45 0.93 6.4 8.19 497456 7542925 0.92 -18.547 - 839960834
FANG Diamondback能源 106.28 6.36 6.37 14.79 3804273 393964809 2.31 20.659 0.5004 17470468158
IMTE 综合媒体科技 13.37 0.8 6.36 106.97 29911 382336 1.13 29.09 - 35345079
BAS 基本能源服务 3.38 0.2 6.29 -11.98 517253 1694521 1.92 -0.629 - 90944612
SECO 寺库 10.18 0.6 6.26 12.24 184566 1861902 0.37 22.605 - 511487972
IDSA 美国工业服务 1.36 0.08 6.25 21.43 401 462 0 -31.595 - 11026696
DOW 陶氏化学(更名DWDP) 58.3 3.41 6.21 8.97 9239824 530051744 1.23 40.038 - 43841600000
I 国际通信卫星 18.63 1.09 6.21 -12.9 3559423 65304734 2.58 -4.29 4.57875 2572304200
SESN "Sesen Bio" 1.03 0.0598 6.16 -28.87 2082403 2062598 2.69 -2.368 - 79779865
NVMM "Novume Solutions" 0.7 0.04 6.06 4.62 36387 24307 0.19 -2.377 - 13557333
SRCI "SRC Energy" 6.31 0.36 6.05 33.83 3756319 23604709 1.54 5.903 - 1534946837
VNE Veoneer 27.93 1.56 5.92 18.5 450937 12526579 0.52 -8.854 - 2434903102
TGB Taseko矿业 0.6189 0.0346 5.92 30.85 1652327 1009572 0.67 -5.672 - 152215187
MNI 麦克拉奇报业 3.951 0.221 5.92 -47.71 22585 89527 0.29 -0.388 - 30962355
SM 圣玛丽石油勘测 18.31 1.02 5.9 18.28 2577452 46698275 2.3 4.042 0.57837 2055173816
TAIT Taitron电子配件 3.0971 0.1721 5.88 81.9 84605 258089 1.48 12.811 4.10256 17652996
ASCMA 艾森媒体 0.7001 0.0388 5.87 79.49 79480 55283 0.64 -0.013 - 8733309
ECA 加拿大能源 7.57 0.42 5.87 30.97 40669125 304449070 2.73 10.558 1.04895 11286114575
SHIP Seanergy海事控股 4.46 0.246 5.84 745.48 114955 538900 4.09 -0.595 0 12533595
SG Sirius国际保险 13.07 0.72 5.83 -3.08 1099 11769 0 -34.782 - 1506082135
AAOI 应用光电 13.09 0.72 5.82 -15.17 946709 12207362 4.76 -121.278 - 260263404
PPDF 拍拍贷 5.29 0.29 5.8 46.94 1765476 9383505 0.59 4.322 3.4 1590249293
IPDN 专业多样网络 3.3392 0.1792 5.67 233.92 1326 4079 0.03 -1.02 - 16218321
PRPO Precipio 0.28 0.015 5.66 81.82 7987813 2186173 16.51 -0.514 - 13543206
CARV 卡弗储蓄 3.63 0.1929 5.61 21.81 5984 21110 0.16 -194.592 - 13426876
WHLM Wilhelmina国际 6.81 0.36 5.58 10.63 2799 18039 0.05 41.769 - 35754454
HZN "Horizon Global" 2.48 0.13 5.53 73.43 200176 490631 0.79 -0.306 - 62509908
CGC "Canopy Growth" 42.29 2.21 5.51 57.39 6639734 279718714 1.98 -29.91 - 14152451180
BEST 百世集团 5.56 0.29 5.5 35.28 1138937 6245931 0.29 -28.452 - 2153944000
