股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
BOOT "Boot Barn" 30.39 1 3.4 78.45 829903 25053942 2.93 23.155 - 860918401
EZPW 艾茨克普 10.64 0.35 3.4 37.65 594214 6256497 1.07 26.734 - 589937364
SYRS Syros 7 0.23 3.4 25.67 224934 1569666 0.69 -3.683 - 229366368
SFS "Smart & Final Stores" 5.51 0.18 3.38 16.24 322484 1766245 0.42 -3.76 - 421650155
FTNT 飞塔信息 92.71 3.03 3.38 31.63 2504630 221637148 1.47 47.62 - 15819447638
CYTX 赛托瑞疗法 0.331 0.0108 3.37 14.14 737598 256676 4.52 -0.357 0 5403944
DAN 德纳 20.55 0.67 3.37 51.52 949124 19378265 0.66 6.904 2.01207 2948123776
RIGL 里格尔制药 2.47 0.08 3.35 7.39 1891861 3884507 1.13 -2.2 - 412913617
EVR Evercore投行 94.84 3.06 3.33 33.25 504236 47697700 1.23 10.306 2.17912 3888006581
RYAM-A "Rayonier Advanced Materials Inc. 8.00% Series A Mandatory Convertible Preferred Stock" 107.86 3.47 3.32 31.08 16660 1799846 0.97 0 7.59734 186058500
GSL 环球租船 5.6 0.18 3.32 827.42 20637 116269 0.21 -1.152 0 55680520
MRO 马拉松石油 17.76 0.57 3.32 24.21 11841242 210478077 1.45 13.263 1.16347 14536639192
GDS 万国数据 40.75 1.3 3.3 76.48 7884727 315397902 6.26 -80.002 - 5129760979
MIME Mimecast 49.7 1.59 3.3 47.78 1172207 45185682 1.94 -258.32 - 3002964553
SHSP SharpSpring 18.55 0.59 3.29 46.87 50129 906583 0.58 -16.887 - 160072235
GTX "Garrett Motion" 17.26 0.55 3.29 39.87 508036 8750412 0.69 1.083 - 1277582180
XERS Xeris制药 9.76 0.31 3.28 -42.59 99649 971701 0.37 -4.355 - 261664146
SOI Solaris油田基础设施 18.25 0.58 3.28 50.95 621109 11244557 1.32 20.27 2.26372 860096549
PD PagerDuty 39.5 1.25 3.27 64.58 1503503 58992947 2.04 -71.369 - 2907637976
DHX 戴斯控股 3.17 0.1 3.26 108.55 529412 1695177 0.96 24.248 - 173952526
CTG 计算机作业集团 4.2021 0.1321 3.25 2.94 31811 136010 0.22 -21.604 - 60858930
SCE-B "Southern California Edison Company 4.08% Preferred Stock" 19.38 0.61 3.25 10.05 2636 49876 0.41 0 5.4342 12597000
TECK "Teck Resources Ltd Ordinary Shares" 25.21 0.79 3.24 17.04 3553348 88972281 0.63 6.132 0.61309 14292130897
RYB 红黄蓝教育 7.66 0.24 3.23 31.16 88016 673850 0.3 -125.085 - 223777716
IFRX InflaRx 48.59 1.52 3.23 33.6 225859 10951225 0.87 -37.39 - 1261609176
CS 瑞士信贷 12.84 0.4 3.22 18.23 3675010 47216528 0.14 16.236 2.0900321543408364 32749498932
NAOV NanoVibronix 3.9 0.1212 3.21 9.08 2477 9625 0.07 -3.925 - 14747788
AGE "AgeX Therapeutics" 4.5 0.14 3.21 50.5 34150 153675 0.09 -22.572 - 169335000
MPO Midstates石油 10.97 0.34 3.2 46.07 187244 2057624 0.92 4.498 - 223939770
ALJJ "ALJ Regional" 1.6 0.0495 3.19 18.36 4983 7906 0.01 -46.694 - 60842296
GEC "Great Elm Capital" 4.55 0.14 3.17 34.62 91303 413511 0.35 -8.951 - 118312822
MOR MorphoSys 25.15 0.77 3.16 -0.59 4059 101609 0 -49.942 - 3174788722
CPS 库珀标准控股 56.45 1.73 3.16 -9.13 324591 18180991 1.86 9.133 - 984268918
TRMD Torm 8.5 0.26 3.16 41.07 1079 8983 0 -18.139 - 630860191
FSTR LB福斯特 21.84 0.67 3.16 37.36 45753 990004 0.43 -7.415 - 231095177
SEAS 海洋世界 24.83 0.76 3.16 12.4 1445405 36122116 1.72 46.639 - 2088861144
JKS 晶科能源 17.71 0.54 3.15 79.07 971507 17299625 2.48 11.465 - 694518619
VOC "VOC Energy Trust Units of Beneficial Interest" 5.91 0.18 3.14 63.71 68084 395840 0.4 0.006 10.12216 100470000
BTU Peabody 28.95 0.88 3.14 1.5 951235 27576303 0.88 5.754 1.85251 3132737371
CE 塞拉尼斯 105.3 3.2 3.13 17.68 1476086 153790448 1.15 11.153 2.11557 13461892119
OASM Oasmia药业 2.31 0.07 3.13 -23.62 1311 2986 0 -12.27 - 155503125
HARP "Harpoon Therapeutics" 12.84 0.39 3.13 -8.29 9649 121424 0.04 -11.42 - 312523417
TDW 潮水海运 24.55 0.74 3.11 28.33 150803 3659989 0.41 -5.32 - 912499343
ZBRA 斑马技术 233.74 7.04 3.11 46.79 570644 131388619 1.06 29.909 - 12591689969
SITO Sito移动 1.99 0.06 3.11 121.11 75153 146999 0.29 -2.977 - 50802865
PCG-D "Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock" 18.9286 0.5686 3.1 20.17 510 9557 0.02 0 5.91017 54154725
CHAP "Chaparral Energy" 5.66 0.17 3.1 15.04 193861 1089305 0.36 9.194 - 307466550
TWIN 双环 16.97 0.51 3.1 15.05 27872 465494 0.21 12.936 - 222298719
SGMS 美彩科技 21.35 0.64 3.09 19.41 1034258 21909074 1.12 -5.589 - 1969512649
ALV 奥托立夫 83.76 2.51 3.09 20.17 719357 59998690 0.83 38.338 3.05231 7299620510
PNC 匹兹堡金融服务集团 132.7 3.98 3.09 14.4 4291697 566508296 0.95 11.894 2.95214 60194381669
HPR "HighPoint Resources" 2.68 0.08 3.08 7.63 628484 1674910 0.3 4.699 - 569587515
CSV 运输服务 19.44 0.58 3.08 25.91 110012 2112010 0.61 28.251 1.59067 353481369
HWC 汉考克惠特尼 43.9 1.31 3.08 27.48 362480 14844534 0.42 11.798 2.53581 3819950335
ABG 阿斯伯里汽车 75.35 2.25 3.08 13.04 191548 14357672 0.98 8.754 - 1470651009
NOG Northern石油天然气 2.69 0.08 3.07 19.03 3760113 9971820 1 7.057 - 1014085448
TK 帝凯海运 4.7 0.14 3.07 42.93 317963 1486159 0.32 -5.955 4.82456 471880000
CASH 米塔金融 21.85 0.65 3.07 12.97 212052 4303099 0.54 13.815 0.9434 861326803
CACC "Credit Acceptance" 458.97 13.68 3.07 20.22 111124 48987173 0.59 15.017 - 8619588324
AQMS "Aqua Metals" 3.03 0.09 3.06 66.48 372159 1122311 0.84 -3.339 - 134409864
OFLX 欧美佳福莱克斯 79.87 2.37 3.06 47.72 4570 359232 0.05 40.024 1.23871 806033823
ORGS Orgenesis 5.05 0.15 3.06 7.91 100346 510460 0.64 -4.313 - 78885904
INUV Inuvo 1.35 0.04 3.05 26.17 61286 82430 0.19 -7.414 - 43673723
LODE "Comstock Mining" 0.2298 0.0068 3.05 72.78 639415 145147 0.79 -1.958 - 18565605
BDL Flanigan's企业 24.37 0.7185 3.04 -8.58 100 2437 0.01 11.923 1.16038 45295227
HAIR "Restoration Robotics" 0.64758 0.01908 3.04 48.65 99914 63851 0.25 -0.919 - 26399902
COHR Coherent 156.19 4.59 3.03 47.75 195274 29139381 0.8 15.765 - 3799569936
WFT 威德福国际 0.5758 0.0169 3.02 3.01 16839560 9514351 1.68 -0.205 - 577594037
UBCP 联合合众银行 10.94 0.32 3.01 -5.42 1103 11984 0.02 15.128 4.99529 64776911
GHG 格林酒店 14.71 0.43 3.01 15.96 85999 1250941 0.08 25.435 1.9607843137254906 1493832994
BPOP 大众银行 54.69 1.6 3.01 16.47 839341 44900607 0.84 8.907 2.26031 5473018293
IIVI "II‐VI Incorporated" 41.05 1.2 3.01 26.46 544254 21393109 0.86 23.211 - 2602334209
WHLR Wheeler房产投资信托 1.71 0.05 3.01 90.8 17887 29793 0.18 -1.195 25.609756097560975 16573460
TBLTU "ToughBuilt Industries, Inc." 5.15 0.15 3 22.34 1016 5227 0.02  - 22649700
ILMN Illumina 338.37 9.85 3 12.82 1452888 473531777 0.99 60.218 - 49740390000
CARG CarGurus 40.99 1.19 2.99 21.52 486509 17854467 0.44 69.684 - 4541276320
FRPH "FRP Holdings" 52.3 1.52 2.99 13.67 18800 963990 0.19 4.176 - 519760277
RYAM "Rayonier Advanced" 15.16 0.44 2.99 42.35 924486 14020755 1.88 5.817 1.90217 747043413
CWEN "Clearway Energy C" 15.85 0.46 2.99 -6.86 1096302 17109985 0.57 58.95 7.53736 3065399637
LITE Lumentum控股 60.65 1.76 2.99 44.37 1534137 91055707 2.02 47.484 - 4615465000
BBVA "Bank Bilbao Vizcaya" 6.24 0.18 2.97 17.96 3704127 23080415 0.06 6.906 3.97129 41607612259
INPX Inpixon 1.04 0.03 2.97 -67.4 1509535 1515433 21.65 -0.163 0 7252463
NAII 天然替代品 12.15 0.35 2.97 20.04 3765 44125 0.05 9.448 - 91406564
APHA Aphria 10.1 0.29 2.96 77.5 4662106 46677005 1.86 94.678 - 2527356057
ADS 联合数据系统 180.93 5.19 2.95 20.99 685597 123534295 1.29 9.956 1.43394 9588871147
NAKD "Naked Brand Group" 0.3172 0.0091 2.95 -62.86 112510 35433 0.49 -0.288 - 7282398
SLCA "U.S. Silica控股" 17.86 0.51 2.94 75.44 981471 17481961 1.34 -6.506 1.44092 1306507240
GHL 格林希尔投行 22.11 0.63 2.93 -9.19 196011 4313222 0.95 11.664 0.9311 457502530
COMM CommScope 26.09 0.74 2.92 59.18 3712639 95039252 1.93 35.796 - 5019201453
HUN 亨斯曼材料 24.75 0.7 2.91 28.3 2280523 56497677 0.98 17.14 2.7027 5776132230
HTH 希尔托普控股 19.81 0.56 2.91 11.58 507686 9966892 0.54 15.27 1.66234 1854446271
PKD 帕克钻井 18.73 0.53 2.91 4245.71 12290 232736 0.13 -1.043 - 175734094
YNDX Yandex 38.9 1.1 2.91 42.23 3670617 126617855 1.13 92.862 - 12631881195
HK Halcon能源 1.42 0.04 2.9 -16.47 1776652 2531729 1.11 4.952 - 227571722
GWB "Great Western银行" 34.08 0.96 2.9 9.83 309372 10495754 0.54 11.122 3.01932 1940461865
TCS 容器商店集团 8.52 0.24 2.9 78.62 225771 1923343 0.46 77.187 - 416731748
MUR 墨菲石油 29.42 0.83 2.9 26.88 1825878 53989387 1.05 12.425 3.49773 5107916816
LPI Laredo石油 3.2 0.09 2.89 -11.6 7549723 24000569 3.23 2.306 - 748558278
IMAX "IMAX Corp." 24.9 0.7 2.89 32.38 306187 7589763 0.5 67.011 - 1530806383
CADE 凯斯金融 20.66 0.58 2.89 24.21 1268340 26089754 0.98 16.149 3.48606 2685030394
XENT "Intersect Ent" 28.96 0.81 2.88 2.77 350455 9816242 1.14 -38.917 - 892044396
BGCP "BGC Partners" 5.71 0.16 2.88 12.98 2358758 13247209 0.7 9.763 10.09009 1928380817
FIBK "First Bancsystem国际" 41.84 1.17 2.88 15.33 269119 11098197 0.44 15.835 3.04893 2536806772
STRO "Sutro Biopharma" 11.77 0.33 2.88 30.49 10622 122433 0.05 -7.615 - 268923126
AIPT 精密治疗 0.7511 0.021 2.88 21.33 20736 15377 0.13 -1.176 - 11861811
JEF 杰富瑞 20.36 0.57 2.88 18 1817197 36909088 0.61 -76.069 2.52653 6063741880
CMA 联信银行 80.33 2.25 2.88 16.95 2238448 179277300 1.42 10.339 3.43238 12685346412
AKTS Akoustis技术 6.8 0.19 2.87 36.82 239263 1592275 0.8 -7.943 - 203409780
HEAR 乌龟海岸 12.2 0.34 2.87 -14.51 506295 6058998 3.55 4.444 0 174172995
MGY "Magnolia Oil & Gas" 13.66 0.38 2.86 21.86 774696 10569952 0.31 87.239 - 3410621396
GBX 格林布赖尔 33.6 0.93 2.85 -14.52 623641 20981778 1.92 12.87 3.06091 1088850470
LEVL "Level One Bancorp" 23.55 0.65 2.84 4.99 3241 73473 0.04 12.686 0.69869 182506165
CATO 加图商场 13.78 0.38 2.84 -1.1 221886 3047382 0.9 11.454 9.85075 339012818
STL 纽约公积金合众银行 20.68 0.57 2.83 25.72 2024202 41532577 0.95 10.014 1.39234 4398746431
CWEN.A "Clearway Energy A" 15.26 0.42 2.83 -8.55 283598 4261911 0.15 56.756 7.81671 2951293278
BTE Baytex能源信托 2.18 0.06 2.83 23.86 2757238 6032837 0.5 -3.072 - 1211801324
NDLS "Noodles & Co" 6.56 0.18 2.82 -6.15 360760 2351630 0.82 -34.141 - 288183673
KOS Kosmos能源 6.58 0.18 2.81 62.83 5630498 37437181 1.4 -28.09 2.825 2640239048
OVLY 橡木谷银行 19.79 0.54 2.81 8.96 11055 209912 0.13 14.058 1.4026 162188134
FTR Frontier电信 2.56 0.07 2.81 7.56 3020400 7529394 2.87 -0.419 29.8879 269615734
FOXF 福克斯工厂控股 77.53 2.12 2.81 31.7 227084 16767969 0.6 35.048 - 2945407031
SAH 索尼克汽车 16.44 0.45 2.81 19.48 222464 3656641 0.52 13.684 2.50156 706771826
WIX Wix.com 125.02 3.4 2.8 38.39 781694 96602314 1.57 -167.937 - 6233826878
SAR Saratoga投资公司 24.57 0.67 2.8 23.47 111158 2729818 1.47 11.446 8.78661 185264139
QHC "Quorum Health" 1.1 0.03 2.8 -61.94 807881 881398 2.58 -0.172 - 34495696
TROX Tronox控股 14.68 0.4 2.8 89.4 2010571 29187459 1.63 -258.195 1.2605 1807364166
ACIA Acacia通讯 60.88 1.66 2.8 60.21 933968 41509109 2.32 498.56 - 2450919277
TELL Tellurian 10.32 0.28 2.79 48.49 1860209 18840244 0.77 -19.735 - 2481553464
DSKE Daseke 5.15 0.14 2.79 39.95 265653 1358548 0.41 -32.734 - 332018811
NESR 国家能源服务 10.33 0.28 2.79 19.28 268571 2728144 0.31 25.543 - 897643727
LXU LSB工业 6.99 0.19 2.79 26.63 46648 324530 0.16 -1.96 - 201375462
MT 安赛乐米塔尔 22.57 0.61 2.78 9.19 2695320 61065170 0.27 4.443 0.77413 22876235583
CRZO 卡里索油气 12.92 0.35 2.78 14.44 4174677 53886731 4.56 3.148 - 1183830375
SYBX Synlogic 8.13 0.22 2.78 15.98 44042 354848 0.17 -4.264 - 206506024
MPAA 美国汽车配件 20.33 0.55 2.78 22.18 82934 1608562 0.44 1111.596 - 382389044
ZNH 南方航空 47.88 1.29 2.77 57.71 31161 1491303 0.01 27.228 1.4584 11747044147
AAWW 阿特拉斯环球航空 51.6 1.39 2.77 22.3 610071 23964391 2.37 4.911 - 1328647781
TCF TCF金融 22.28 0.6 2.77 15.08 1491800 33150780 0.91 12.628 2.76753 3653183512
SWKS 思佳讯 90.68 2.44 2.77 35.93 1522011 133942240 0.88 13.847 1.72257 15687785723
SPRT 在线赞助 2.23 0.06 2.76 -9.35 13451 29051 0.07 -4.645 - 42270239
NVEE "NV5 Global" 62.84 1.69 2.76 3.78 119701 7485824 0.95 29.449 - 790880235
EMN 伊斯曼化工 83.94 2.25 2.75 14.81 1820328 152235851 1.31 10.787 3.03587 11649687103
UCTT 超科林半导体 11.57 0.31 2.75 36.6 205275 2286422 0.52 12.365 - 452510209
NXPI 恩智浦 100.34 2.69 2.75 36.93 3071388 302942722 0.93 14.938 1.02407 32982030824
GTHX G1治疗 17.98 0.48 2.74 -6.11 511919 8863279 1.37 -7.886 - 672600047
CEE 中欧俄土基金 25.08 0.67 2.74 14.1 9519 237233 0.14 0.027 4.12823 175860960
VC 伟世通 82.6 2.2 2.74 37.03 478862 38661539 1.7 14.225 - 2332961504
JOBS 前程无忧 90.2 2.39 2.72 44.46 118083 10435328 0.19 29.905 - 5581099383
PVAC 宾维吉尼亚 43.02 1.14 2.72 -20.42 308465 8611862 2.04 2.891 - 649827898
TCX Tucows 88.9 2.35 2.72 48.02 78534 6916852 0.74 55.199 - 945836348
SNV 西诺乌斯金融 36.62 0.97 2.72 14.47 2371237 86448187 1.49 14.198 3.36606 5827916962
PESI 佩尔马福克斯环境服务 4.15 0.11 2.72 75.32 34259 141152 0.29 -34.933 - 49640379
VFF "Village Farms国际" 13.31 0.35 2.7 35.13 1731451 23086720 3.63 -117.818 - 634359085
CNK 喜满客影城 42.18 1.11 2.7 18.86 1116977 46928672 0.95 23.216 3.31142 4937183215
GEF 格瑞夫 41.04 1.08 2.7 10.59 127933 5219666 0.27 10.842 4.4044 1979791105
WWR "Westwater Resources" 0.1797 0.0047 2.69 28.36 1171866 209552 1.58 -0.375 - 13369630
HOME "At Home Group" 22.15 0.58 2.69 18.7 1785199 39431476 2.81 28.757 - 1408954501
ACLS 亚舍立科技 21.45 0.56 2.68 20.51 182021 3837142 0.56 15.306 - 702301207
WAL 阿莱恩斯西部银行 44.86 1.17 2.68 13.6 917442 40909656 0.87 10.839 - 4723616870
KEY 美国科凯国际 16.88 0.44 2.68 15.33 12490739 210019286 1.25 9.392 4.13625 16906255844
FRAC "Keane Group" 11.88 0.31 2.68 45.23 1038470 12391024 0.99 20.905 - 1240332837
SWN 西南能源 4.59 0.12 2.68 34.6 12776892 58300958 2.36 4.644 - 2484655555
TRX 坦桑尼亚皇家勘探 0.77 0.02 2.67 121.29 109786 84206 0.08 -20.741 - 104212860
UEIC 统一电子 39.64 1.03 2.67 56.8 76070 2974107 0.55 46.018 - 548719158
SB 安全集装 1.54 0.04 2.67 -13.48 699617 1093501 0.69 9.564 - 155898387
UMBF UMB金融 67.36 1.75 2.67 10.98 209209 13422483 0.43 16.9 1.82899 3304151207
SLAB 芯科实验室 90.65 2.35 2.66 15.02 246922 21665509 0.57 46.996 - 3928432876
LCII "LCI Industries" 90.04 2.33 2.66 35.82 215557 19364779 0.87 15.07 2.73629 2238679016
SPR "Spirit Aerosystems" 87.55 2.27 2.66 21.45 1147480 99859447 1.09 14.994 0.56285 9251530632
EWBC 华美 52.13 1.35 2.66 20.31 608705 30346159 0.42 10.752 1.81174 7566491997
GATX Gatx 79.39 2.05 2.65 12.77 190617 15138040 0.52 13.696 2.37911 2893899352
CREE 克里科技 65.01 1.68 2.65 51.98 1248709 74737372 1.21 -23.354 - 6710608623
FDX 联邦快递 196.95 5.08 2.65 22.54 1651159 323088886 0.63 14.114 1.35508 51320169833
PFG 信安金融集团 54.87 1.41 2.64 24.22 1227266 63244982 0.44 9.869 4.0404 15262470749
ASC 阿德莫尔海运 7.01 0.18 2.64 50.11 212406 1490453 0.64 -5.403 - 232015795
KALA Kala制药 8.17 0.21 2.64 67.08 128972 1039438 0.38 -4.148 - 276823064
CKPT Checkpoint医疗 3.11 0.08 2.64 66.48 2595 7818 0.01 -3.066 - 111514219
UNIT "Uniti Group" 12.08 0.31 2.63 -22.41 2122239 24936004 1.16 276.868 1.69924 2211895680
HYGS Hydrogenics 8.2 0.21 2.63 64 38951 317882 0.21 -11.672 - 155696795
BKU BankUnited 35.89 0.92 2.63 21.38 832932 29784815 0.84 10.892 2.40206 3538454713
QEP QEP资源 8.18 0.21 2.63 45.29 3382812 27725527 1.42 -1.925 - 1947210775
WUBA 58同城 69.08 1.77 2.63 27.43 450337 31003901 0.3 34.406 - 10239195724
EDUC Educational 8.6 0.22 2.63 1.44 20542 172487 0.25 10.148 2.38663 70501304
MC 美驰投行 38.38 0.98 2.62 16.03 764358 28937065 1.36 15.292 5.34759 2151223179
COLB 哥伦比亚银行系统 35.31 0.9 2.62 -0.46 392933 13629581 0.54 14.964 3.25487 2587058653
DB 德意志银行 8.61 0.22 2.62 5.64 5602279 48465316 0.27 58.853 1.2564 17783343578
NNDM "Nano Dimension" 0.7401 0.0189 2.62 -33.32 29783 21437 0.08 -1.705 - 26414563
FCAU 菲亚特-克莱斯勒汽车 16.07 0.41 2.62 11.13 3502106 56446945 0.23 6.062 - 24918424237
TOUR 途牛 4.72 0.12 2.61 -2.88 32558 152632 0.03 -20.733 - 580678529
RAVN 雷文工业 39.4 1 2.6 9.62 108012 3895903 0.29 28.116 1.3496 1456247167
OMNT Ominto 0.4 0.0101 2.59 -42.03 20200 6868 0.12  - 6912941
TREX Trex木业 74.89 1.89 2.59 26.16 564902 42101016 0.97 32.56 0 4381724631
PLCE 儿童之家 105.58 2.67 2.59 17.83 748816 77329357 4.76 16.456 2.16488 1661375206
IMXI 国际货币快递 11.93 0.3 2.58 -0.25 169164 2033182 0.47 -59.589 - 431660601
CYTK 细胞动力科技 8.77 0.22 2.57 38.77 286345 2378391 0.52 -4.529 - 481370996
CHFC 化学金融 44.38 1.11 2.57 22.12 711250 28379783 1 11.176 3.14306 3172220179
IBTX 独立银行集团 56.63 1.42 2.57 24.29 170205 9378117 0.39 19.326 1.81127 2478677488
HTGM Htg分子诊断 2.79 0.07 2.57 9.84 272273 742743 0.95 -4.851 - 79810773
RF "Regions Financial " 15.6 0.39 2.56 17.64 9762843 151812209 0.96 9.367 3.68179 15876670150
AYTU "Aytu BioScience" 2 0.05 2.56 152.4 327224 652476 2.63 -2.401 0 24910870
TSG "The Stars Group" 19.24 0.48 2.56 16.46 3590877 67588251 1.31 -51.304 - 5256188472
FITB 五三银行 27.66 0.69 2.56 17.55 9033155 243600897 1.39 8.471 3.26288 17940672008
BITA 易车 14.43 0.36 2.56 -41.74 465485 6688088 0.64 -11.578 - 1049637709
BA 波音 379.64 9.48 2.56 18.31 7202746 2717012643 1.28 20.501 2.22066 214299932054
LKSD "LSC Communications" 7.25 0.18 2.55 6.86 126013 907420 0.38 -10.502 14.71004 241540630
FGBI 第一抵押银行 22.9 0.57 2.55 -1.34 2064 46925 0.02 14.19 2.8661 201684308
FIVN Five9 52.3 1.3 2.55 19.62 765134 36954732 1.29 -14022.328 - 3098934410
BDGE Bridge银行 31.78 0.79 2.55 25.72 67866 2118160 0.34 16.078 2.9687 630705276
HBAN 亨廷顿银行 13.69 0.34 2.55 14.85 14201703 192179710 1.35 10.875 4.19476 14387571144
TGI Triumph集团 22.64 0.56 2.54 97.21 431575 9742806 0.87 -2.644 0.72464 1129031466
HOPE "Hope Bancorp" 14.12 0.35 2.54 20.21 466593 6364151 0.37 9.432 4.06681 1788187130
LLEX "Lilis Energy" 1.21 0.03 2.54 -11.68 370291 448422 0.52 -5.834 - 86511345
NAV 纳威司达 33.93 0.84 2.54 30.75 377140 12760532 0.38 7.928 - 3361291635
FCX "Freeport McMoRan" 13.7 0.34 2.54 33.96 26891061 371284879 1.86 7.63 1.49142 19852106725
PRLB Proto实验室 113.45 2.8 2.53 0.59 83327 9396286 0.31 39.969 - 3061174495
AAON 艾伦建材 46.26 1.14 2.53 31.95 82087 3684077 0.16 56.479 0.70922 2404430808
GFED GFED银行 23.87 0.59 2.53 7.24 451 10576 0.01 14.532 2.2356 106543291
OSMT Osmotica制药 4.07 0.1 2.52 -47.48 81741 327929 0.16 -1.954 - 213752021
SNX 新聚思 107.33 2.64 2.52 33.8 308225 32953876 0.6 15.119 1.4328 5497360385
HESM "Hess Midstream" 21.94 0.54 2.52 31.44 80117 1748153 0.15 17.329 6.91776 1197412469
RCL 皇家加勒比邮轮 121.94 3 2.52 25.43 1757215 213498108 0.84 14.085 2.35413 25508213760
JMEI 聚美优品 2.45 0.06 2.51 33.88 305237 750578 0.2 4.617 - 367679293
LTRPB "Liberty Holdings B" 14.71 0.36 2.51 -22.29 146 2148 0 -17.256 - 1104377963
LBTYA 自由全球 27.92 0.68 2.5 30.83 1412500 37386166 0.19 28.567 - 20719556970
TST TheStreet 2.46 0.06 2.5 21.18 538861 1310016 1.05 6.964 - 126845989
FFIN 第一金融银行股份 61.04 1.49 2.5 5.81 289810 17224815 0.43 27.48 1.41058 4139532223
NPTN 新飞通光电 6.59 0.16 2.49 1.7 631120 4116165 1.36 -7.011 - 305951768
WAGE Wageworks 41.13 1 2.49 51.44 558889 22897682 1.4 49.587 - 1639148008
CYAD Celyad 21.67 0.525 2.48 19.33 4902 106133 0.04 -6.11 - 258790594
AVEO AVEO制药 1.02 0.0247 2.48 -36.25 4774265 4723844 3.43 -26.605 - 141780347
OESX 猎户能源系统 1.61 0.0389 2.48 181.96 338895 546638 1.15 -6.564 - 47618880
ASML 阿斯麦 202.82 4.91 2.48 30.33 430723 85826615 0.1 29.12 1.02459 85407041396
CRI 卡特 104.98 2.53 2.47 29.32 463714 48369544 1.02 16.944 1.95217 4779319480
BECN 比肯鲁夫 36.9 0.89 2.47 16.33 466250 15331800 0.68 411.5 - 2525375521
GS 高盛 207.84 5.01 2.47 24.92 5053801 1050710497 1.38 7.731 1.57768 76228047484
AMBA 安霸 47.69 1.15 2.47 36.34 402108 17584329 1.23 -51.258 - 1560645426
SCHW 嘉信理财 45.35 1.09 2.46 9.6 6813701 309321584 0.51 18.176 1.53638 60506925388
NTP 南太地产 9.99 0.24 2.46 15.21 19871 197736 0.05 -28.788 1.4358974358974361 381551976
AVGO 博通 317.03 7.62 2.46 24.68 3005161 933562788 0.76 19.307 3.42588 125494949590
MOMO 陌陌 38.11 0.91 2.45 60.46 3611140 136046155 1.75 18.794 1.6129 7886416326
CIEN Ciena科技 37.99 0.91 2.45 12.03 2664207 100288744 1.71 36.507 - 5924662220
IGT 国际博彩科技 14.23 0.34 2.45 -2.73 1998862 28355856 0.98 -136.109 5.75954 2905918702
WAB 美国西屋制动 76.78 1.83 2.44 9.48 1144929 87685532 0.7 42.416 0.64043 12474167428
EFSC 企业财务服务 44.06 1.05 2.44 17.09 135165 5674867 0.59 11.297 1.30202 1007911097
PCG-G "Pacific Gas & Electric Co. 4.80% 1st Preferred Stock" 18.44 0.44 2.44 22.62 1700 31297 0.11 0 6.10066 27973480
HTZ 赫兹租车 18.06 0.43 2.44 32.31 2965577 53650254 3.53 -6.736 - 1515661390
IBKC Iberiabank 76.8 1.82 2.43 19.48 338883 23174576 0.62 11.68 2.29395 4218124186
TRU "Torch Energy信托" 70.11 1.66 2.43 23.58 1795931 125298514 0.97 47.146 0.43828 13040460000
NYNY 帝国度假村 10.57 0.25 2.42 4.34 7804 81494 0.02 -2.621 - 363853753
BBCP "Concrete Pumping" 6.77 0.16 2.42 -17.74 9546 62774 0.03 -11.454 - 195298976
APA 阿帕契 36.5 0.86 2.41 40.15 6454502 236867314 1.72 343.015 2.80584 13720604113
MYT 江苏长三角精细化工 2.1301 0.0501 2.41 97.27 95243 200339 0.41 -0.595 - 49280532
NTWK 奈特阳科技 6.9226 0.1626 2.41 12.2 13294 90379 0.11 10.446 - 82104182
VOYA "Voya Financial" 54.4 1.28 2.41 35.55 1381520 75153306 0.93 9.197 0.0753 8047328080
JCS 通信系统 2.97 0.07 2.41 44.09 7231 20906 0.08 -4.071 2.75862 27646307
BVXV Biondvax制药 6.4 0.15 2.4 34.17 21906 138621 0.34 -2.763 - 41827130
CCRC 泰盈科技 11.96 0.28 2.4 -8.69 709 8338 0 13.93 - 219222016
UMPQ Umpqua控股 17.89 0.42 2.4 12.52 1683430 29752560 0.76 12.466 4.80824 3942212098
SOLO Electrameccanica汽车 3.41 0.08 2.4 220.19 516442 1746302 1.4 -16.666 - 125505040
ACER Acer医疗 26.86 0.63 2.4 33.5 31522 846870 0.31 -12.732 - 270946570
EQBK "Equity Bancshares" 29.82 0.7 2.4 -15.4 36675 1072853 0.23 13.146 - 470950093
SIFI SI金融集团 14.12 0.33 2.39 11.42 24281 337631 0.2 17.764 1.74039 169914587
MLM 马丁-玛丽埃塔材料 212.16 4.95 2.39 23.76 736280 155475094 1.18 28.252 0.9266 13255646477
ENTG 英特格 40.22 0.94 2.39 44.49 2376608 94284537 1.76 22.543 0.71283 5427384897
PFBI PREMIER金融银行 16.7 0.39 2.39 12.01 13905 226557 0.1 12.113 3.67872 244302663
BGY 贝莱德增强国际红利信托 5.74 0.1338 2.39 15.26 358691 2028398 0.33 15.831 7.19149 625941260
CNSL 联合通讯 11.5 0.26738 2.38 24.7 1658669 13673816 2.33 -15.852 13.33494 818653962
ARCW 阿尔克科技 0.86 0.02 2.38 -16 400 200 0 -1.905 - 20080551
TXRH 德州公路酒吧 62.4 1.45 2.38 4.52 987587 59919159 1.38 28.272 1.96883 4473338251
